count_floors_pre_eq,age,area_percentage,height_percentage,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_cement_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,has_superstructure_other,count_families,damage_grade
2,30,6,5,1,1,0,0,0,0,0,0,0,0,0,1,3
2,10,8,7,0,1,0,0,0,0,0,0,0,0,0,1,2
2,10,5,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,10,6,5,0,1,0,0,0,0,1,1,0,0,0,1,2
3,30,8,9,1,0,0,0,0,0,0,0,0,0,0,1,3
2,10,9,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,25,3,4,0,1,0,0,0,0,0,0,0,0,0,1,3
2,0,8,6,0,0,0,0,0,1,1,0,0,0,0,1,1
2,15,8,6,0,1,0,0,0,0,1,0,0,0,0,1,2
1,0,13,4,0,0,0,0,0,1,0,0,0,0,0,1,1
2,20,9,6,0,1,0,0,0,0,1,0,0,0,0,1,3
1,10,8,4,0,0,0,0,0,1,0,0,0,0,0,1,2
2,15,6,5,0,1,0,0,0,0,1,1,0,0,0,1,2
3,45,7,7,0,1,0,0,0,0,1,0,0,0,0,1,3
2,25,7,6,0,0,1,0,0,0,1,0,0,0,0,1,3
2,55,4,4,0,1,0,0,0,0,0,0,0,0,0,1,2
2,5,7,5,0,1,0,0,0,0,0,0,0,0,0,1,2
3,10,7,7,1,1,0,0,0,0,0,0,0,0,0,1,3
1,20,12,3,0,0,0,0,0,1,0,0,0,0,0,1,2
2,20,16,4,0,1,0,0,0,0,0,0,0,0,0,1,3
3,40,7,5,1,0,0,0,0,0,0,0,0,0,0,0,2
2,30,6,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,0,6,5,0,1,0,0,0,0,1,0,0,0,0,1,2
3,25,6,6,0,1,0,0,0,0,0,0,0,0,0,1,2
2,80,5,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,40,5,5,0,1,0,0,0,0,0,0,0,0,0,1,3
3,10,11,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,15,8,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,10,7,6,0,1,0,0,0,0,1,0,0,0,0,1,2
3,60,27,10,1,0,0,0,0,0,0,0,0,0,0,1,3
2,35,11,5,0,1,0,0,0,0,1,0,0,0,0,1,2
2,15,13,5,0,0,0,0,0,0,1,0,0,0,0,1,2
2,20,4,4,0,1,0,0,0,0,0,0,0,0,0,1,2
2,10,3,6,0,1,0,0,0,0,0,0,0,0,0,1,2
2,15,7,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,25,5,4,0,1,0,0,0,0,0,0,0,0,0,1,3
2,0,9,8,0,1,0,0,0,0,0,0,0,0,0,1,1
3,0,10,7,0,1,0,0,0,0,0,0,0,0,0,1,3
3,40,5,7,0,1,0,0,0,0,0,0,0,0,0,1,3
2,0,9,4,0,1,0,0,0,0,0,0,0,0,0,0,2
2,20,8,5,0,0,1,0,0,0,0,0,0,0,0,1,2
2,30,3,5,1,1,0,0,0,0,1,0,0,0,0,1,2
3,70,16,7,0,1,0,0,0,0,1,0,0,0,0,1,3
2,20,5,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,10,5,5,0,1,0,0,0,0,0,0,0,0,0,1,2
1,5,11,3,0,0,0,0,0,0,0,0,1,0,0,2,1
2,15,7,5,0,0,0,0,0,1,1,0,0,0,0,0,2
2,15,10,5,0,1,0,0,0,0,0,0,0,0,0,1,2
2,20,7,4,0,1,0,0,0,0,0,0,0,0,0,1,3
1,0,15,3,0,1,0,0,0,1,0,0,0,0,1,1,1
2,10,7,5,0,1,0,0,0,0,1,0,0,0,0,0,2
2,30,11,5,0,0,1,0,0,0,0,0,0,0,0,1,2
2,10,6,6,0,0,0,0,0,1,0,0,0,0,0,1,2
1,0,12,3,0,0,0,0,0,1,0,0,0,1,0,0,1
2,25,3,5,0,1,0,0,0,0,0,0,0,0,0,1,3
2,10,6,5,0,1,0,0,0,0,0,0,0,0,0,1,3
1,30,5,2,0,1,0,0,0,0,0,0,0,0,0,1,3
2,45,10,5,0,1,0,0,0,0,0,0,0,0,0,1,2
