count_floors_pre_eq,age,height,land_surface_condition,foundation_type,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_cement_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,has_superstructure_other,damage_grade
2,25,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,15,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,20,2,d502,337f,0,1,0,0,1,0,0,0,0,0,0,2
2,5,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,0,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,10,1,d502,337f,0,1,0,0,0,0,1,0,0,0,0,2
2,5,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,5,4,808e,6c3e,0,1,0,0,0,0,0,0,0,0,0,3
2,10,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,40,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,20,5,d502,337f,1,1,1,0,0,0,1,1,0,0,0,2
2,10,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,50,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,15,7,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,10,8,d502,337f,0,1,0,0,0,0,1,0,0,0,0,3
3,80,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,15,4,2f15,858b,0,0,0,0,0,0,1,0,0,0,0,1
2,15,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,30,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,35,6,2f15,337f,0,1,0,0,0,0,0,0,0,0,0,2
1,25,1,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,5,4,808e,337f,1,1,0,0,1,0,1,0,0,0,0,3
2,30,5,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,10,5,808e,337f,0,1,0,0,0,0,1,0,0,0,0,2
3,20,7,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
3,40,9,808e,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,0,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,0,5,808e,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,5,3,d502,337f,0,1,0,0,0,0,1,1,0,0,0,1
2,35,3,d502,337f,0,1,0,0,0,0,0,0,0,0,0,1
3,35,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,5,9,d502,6c3e,0,0,0,0,0,1,0,0,0,0,0,2
3,5,6,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,0,3,d502,6c3e,0,0,0,0,0,1,1,0,0,0,0,2
3,20,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,45,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
1,5,1,808e,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,15,6,2f15,337f,1,1,0,0,0,0,1,0,0,0,0,2
3,20,6,d502,337f,0,1,0,0,0,0,1,0,0,0,0,3
2,10,5,808e,337f,0,1,0,0,0,0,1,0,0,0,0,3
2,20,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
3,10,5,d502,337f,1,0,0,0,1,0,0,0,0,0,0,2
2,15,5,d502,337f,0,1,0,0,0,0,0,0,0,0,0,3
2,50,4,d502,337f,0,1,0,0,0,0,0,0,0,0,0,2
2,30,5,808e,337f,0,1,0,0,0,0,1,0,0,0,0,2
3,90,6,d502,337f,1,0,0,0,1,0,0,0,0,0,0,2
2,30,4,d502,337f,1,1,0,0,0,0,1,1,0,0,0,3
